frame,distance_m,conventional,raysense,rays_conventional,rays_raysense
0,25.96,unknown ahead,unknown ahead,1280,1264
1,24.04,unknown ahead,unknown ahead,1280,1256
2,22.14,unknown ahead,unknown ahead,1280,1256
3,20.25,unknown ahead,unknown ahead,1280,1264
4,18.38,unknown ahead,DITCH AHEAD,1280,1264
5,16.55,unknown ahead,DITCH AHEAD,1280,1264
6,14.76,unknown ahead,DITCH AHEAD,1280,1264
7,13.04,DITCH AHEAD,DITCH AHEAD,1280,1256
8,11.4,clear to drive,DITCH AHEAD,1280,1256
9,9.9,DITCH AHEAD,DITCH AHEAD,1280,1256
10,8.6,DITCH AHEAD,DITCH AHEAD,1280,1256
11,7.62,DITCH AHEAD,DITCH AHEAD,1280,1256
12,7.07,DITCH AHEAD,DITCH AHEAD,1280,1256
13,7.07,DITCH AHEAD,DITCH AHEAD,1280,1256
14,7.62,DITCH AHEAD,DITCH AHEAD,1280,1256
15,8.6,DITCH AHEAD,DITCH AHEAD,1280,1264
16,9.9,DITCH AHEAD,DITCH AHEAD,1280,1256
17,11.4,DITCH AHEAD,DITCH AHEAD,1280,1264
18,13.04,DITCH AHEAD,DITCH AHEAD,1280,1256
19,14.76,DITCH AHEAD,DITCH AHEAD,1280,1264
20,16.55,DITCH AHEAD,DITCH AHEAD,1280,1264
21,18.38,DITCH AHEAD,DITCH AHEAD,1280,1264
22,20.25,DITCH AHEAD,DITCH AHEAD,1280,1264
23,22.14,DITCH AHEAD,DITCH AHEAD,1280,1256
24,24.04,DITCH AHEAD,DITCH AHEAD,1280,1264
25,25.96,DITCH AHEAD,DITCH AHEAD,1280,1256
26,27.89,DITCH AHEAD,DITCH AHEAD,1280,1256
27,29.83,DITCH AHEAD,DITCH AHEAD,1280,1264
28,31.78,DITCH AHEAD,DITCH AHEAD,1280,1256
29,33.73,DITCH AHEAD,DITCH AHEAD,1280,1256
30,35.69,DITCH AHEAD,DITCH AHEAD,1280,1264
31,37.66,DITCH AHEAD,DITCH AHEAD,1280,1256
32,39.62,DITCH AHEAD,DITCH AHEAD,1280,1256
33,41.59,DITCH AHEAD,DITCH AHEAD,1280,1264
34,43.57,DITCH AHEAD,DITCH AHEAD,1280,1264
35,45.54,DITCH AHEAD,DITCH AHEAD,1280,1256
36,47.52,DITCH AHEAD,DITCH AHEAD,1280,1264
37,49.5,DITCH AHEAD,DITCH AHEAD,1280,1264
38,51.48,DITCH AHEAD,DITCH AHEAD,1280,1264
39,53.46,DITCH AHEAD,DITCH AHEAD,1280,1264
