allocator,fraction,hazard,hazard_index,frame,detection_range_m,lead_time_s
full,1.0,trench,1,4,18.384776310850235,4.596194077712559
front_roi,0.1,trench,1,4,18.384776310850235,4.596194077712559
front_roi,0.2,trench,1,4,18.384776310850235,4.596194077712559
raysense,0.02,trench,1,4,18.384776310850235,4.596194077712559
raysense,0.05,trench,1,4,18.384776310850235,4.596194077712559
raysense,0.1,trench,1,4,18.384776310850235,4.596194077712559
raysense,0.2,trench,1,4,18.384776310850235,4.596194077712559
uniform,0.2,trench,1,6,14.7648230602334,3.69120576505835
uniform,0.1,trench,1,7,13.038404810405298,3.2596012026013246
front_roi,0.05,trench,1,7,13.038404810405298,3.2596012026013246
uniform,0.05,trench,1,8,11.40175425099138,2.850438562747845
front_roi,0.02,trench,1,8,11.40175425099138,2.850438562747845
uniform,0.02,trench,1,9,9.899494936611665,2.4748737341529163
full,1.0,trench,0,17,16.0,4.0
front_roi,0.1,trench,0,17,16.0,4.0
front_roi,0.2,trench,0,17,16.0,4.0
raysense,0.02,trench,0,17,16.0,4.0
raysense,0.05,trench,0,17,16.0,4.0
raysense,0.1,trench,0,17,16.0,4.0
raysense,0.2,trench,0,17,16.0,4.0
full,1.0,crater,2,18,30.364452901377952,7.591113225344488
full,1.0,trench,3,18,56.0,14.0
front_roi,0.1,crater,2,18,30.364452901377952,7.591113225344488
front_roi,0.1,trench,3,18,56.0,14.0
front_roi,0.2,crater,2,18,30.364452901377952,7.591113225344488
front_roi,0.2,trench,3,18,56.0,14.0
raysense,0.1,trench,3,18,56.0,14.0
raysense,0.2,trench,3,18,56.0,14.0
uniform,0.2,trench,0,19,12.0,3.0
front_roi,0.05,trench,0,19,12.0,3.0
uniform,0.1,trench,0,20,10.0,2.5
front_roi,0.02,trench,0,20,10.0,2.5
uniform,0.05,trench,0,21,8.0,2.0
raysense,0.05,trench,3,21,50.0,12.5
uniform,0.02,trench,0,22,6.0,1.5
raysense,0.02,trench,3,22,48.0,12.0
raysense,0.1,crater,2,22,22.847319317591726,5.7118298293979315
raysense,0.2,crater,2,22,22.847319317591726,5.7118298293979315
uniform,0.2,crater,2,23,21.02379604162864,5.25594901040716
front_roi,0.05,crater,2,23,21.02379604162864,5.25594901040716
raysense,0.05,crater,2,23,21.02379604162864,5.25594901040716
uniform,0.2,trench,3,26,40.0,10.0
front_roi,0.05,trench,3,26,40.0,10.0
uniform,0.1,crater,2,27,14.212670403551895,3.553167600887974
uniform,0.05,crater,2,28,12.727922061357855,3.181980515339464
uniform,0.1,trench,3,28,36.0,9.0
front_roi,0.02,trench,3,28,36.0,9.0
uniform,0.02,crater,2,29,11.40175425099138,2.850438562747845
raysense,0.02,crater,2,30,10.295630140987,2.57390753524675
uniform,0.05,trench,3,32,28.0,7.0
uniform,0.02,trench,3,35,22.0,5.5
front_roi,0.02,crater,2,-1,,
