scene,seed,allocator,fraction,frame,final,rays_fired,returns,rays_per_frame,achieved_fraction,ms_per_frame,elev_mae,elev_rmse,elev_p95,n_compared,n_gt_cells,coverage_recall,coverage,n_extra
offroad_course,7,full,1.0,0,False,65536,31268,65536.0,1.0,18.000038999844037,0.005668910326317293,0.059218571076596095,0.004600929704882153,6955,92419,0.07525508823943129,0.02782,0
offroad_course,7,uniform,0.02,0,False,1280,640,1280.0,0.01953125,7.008995999967738,0.002553682393007396,0.018040263030158453,0.004607095343417966,561,92419,0.006070180374165486,0.002244,0
offroad_course,7,uniform,0.05,0,False,3280,1640,3280.0,0.050048828125,3.3344019998367003,0.0021743944144370377,0.014825279452262094,0.004574044754251608,1158,92419,0.01252989103972127,0.004632,0
offroad_course,7,uniform,0.1,0,False,5632,2697,5632.0,0.0859375,4.152352999881259,0.0015202528066632513,0.0021814306185084795,0.004504985146305373,1677,92419,0.01814561940726474,0.006708,0
offroad_course,7,uniform,0.2,0,False,10944,5312,10944.0,0.1669921875,10.714731000007305,0.002078541313497324,0.014237282629371769,0.0046502770133111,2725,92419,0.02948527900107121,0.0109,0
offroad_course,7,uniform,0.35,0,False,16384,7954,16384.0,0.25,22.92905600006634,0.002153969352944035,0.01583213640904733,0.00465299237627342,3132,92419,0.03388913535095597,0.012528,0
offroad_course,7,uniform,0.5,0,False,32768,15634,32768.0,0.5,34.16959199989833,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0
offroad_course,7,uniform,0.75,0,False,32768,15634,32768.0,0.5,34.19868299988593,0.004169131356681828,0.047421596157151864,0.004466089537516066,5771,92419,0.062443869767039244,0.023084,0
offroad_course,7,random,0.02,0,False,1311,626,1311.0,0.0200042724609375,14.321143999950436,0.0041581991139285155,0.04004590457159565,0.0049883978872908704,570,92419,0.00616756294701306,0.00228,0
offroad_course,7,random,0.05,0,False,3277,1551,3277.0,0.0500030517578125,16.74215799994272,0.003177638435345917,0.02971387632124883,0.004681594776832755,1251,92419,0.013536177625812874,0.005004,0
offroad_course,7,random,0.1,0,False,6554,3145,6554.0,0.100006103515625,19.571933999941393,0.0034121506999999695,0.036356765896722064,0.0045498677192246754,2125,92419,0.022993107477899566,0.0085,0
offroad_course,7,random,0.2,0,False,13107,6313,13107.0,0.1999969482421875,25.16127100011545,0.0035552500538301407,0.039445153156005094,0.004508720440334496,3297,92419,0.035674482519828174,0.013188,0
offroad_course,7,random,0.35,0,False,22938,10963,22938.0,0.350006103515625,30.58035399999426,0.004472118125218439,0.048927113000484614,0.0044512393074012885,4468,92419,0.04834503727588483,0.017872,0
offroad_course,7,random,0.5,0,False,32768,15586,32768.0,0.5,34.286361999875226,0.004883279885774839,0.05235160313803566,0.00450204649477948,5308,92419,0.05743407740832513,0.021232,0
offroad_course,7,random,0.75,0,False,49152,23338,49152.0,0.75,40.57979900017017,0.004959181350834012,0.05353357823650465,0.00450640664785773,6261,92419,0.06774580984429608,0.025044,0
offroad_course,7,full,1.0,5,False,393216,187681,65536.0,1.0,18.851373833247937,0.006684247713399118,0.07301205956721027,0.003484510488211211,26018,92419,0.2815221978164663,0.104072,0
offroad_course,7,uniform,0.02,5,False,7680,3840,1280.0,0.01953125,2.9376661666447035,0.0025668293296505565,0.018971425088042268,0.00463960166565107,2732,92419,0.029561021002174878,0.010928,0
offroad_course,7,uniform,0.05,5,False,19680,9840,3280.0,0.050048828125,2.437183499978346,0.0038178214023078787,0.035804811991220174,0.0045873067299428095,5162,92419,0.055854315671020026,0.020648,0
offroad_course,7,uniform,0.1,5,False,33792,16203,5632.0,0.0859375,3.643534333302038,0.003681029460898918,0.03286407496298661,0.004451144795563317,6893,92419,0.07458423051537022,0.027572,0
offroad_course,7,uniform,0.2,5,False,65664,31901,10944.0,0.1669921875,6.130292833290696,0.002930201387884334,0.029000988626543874,0.004204386123939402,10552,92419,0.11417565652084528,0.042208,0
offroad_course,7,uniform,0.35,5,False,98304,47762,16384.0,0.25,8.984271000031185,0.002816031441735472,0.02899269723865125,0.00399539182466363,12525,92419,0.13552408054620804,0.0501,0
offroad_course,7,uniform,0.5,5,False,196608,93842,32768.0,0.5,13.721499333276673,0.006882919163917571,0.07261675853155145,0.0038268688326848557,20495,92419,0.22176175894567135,0.08198,0
