allocator,fraction,hazard,hazard_index,frame,detection_range_m,lead_time_s
front_roi,0.1,trench,3,0,92.0,23.0
front_roi,0.2,trench,3,0,92.0,23.0
raysense,0.02,trench,3,0,92.0,23.0
raysense,0.05,trench,3,0,92.0,23.0
raysense,0.1,trench,3,0,92.0,23.0
raysense,0.2,trench,3,0,92.0,23.0
front_roi,0.1,trench,1,1,24.041630560342615,6.010407640085654
front_roi,0.2,trench,1,1,24.041630560342615,6.010407640085654
raysense,0.02,trench,1,1,24.041630560342615,6.010407640085654
raysense,0.05,trench,1,1,24.041630560342615,6.010407640085654
raysense,0.1,trench,1,1,24.041630560342615,6.010407640085654
raysense,0.2,trench,1,1,24.041630560342615,6.010407640085654
uniform,0.2,trench,1,3,20.248456731316587,5.062114182829147
front_roi,0.1,crater,2,3,59.682493245507096,14.920623311376774
front_roi,0.2,crater,2,3,59.682493245507096,14.920623311376774
front_roi,0.05,trench,1,4,18.384776310850235,4.596194077712559
front_roi,0.1,trench,0,4,42.0,10.5
front_roi,0.2,trench,0,4,42.0,10.5
raysense,0.2,trench,0,4,42.0,10.5
raysense,0.2,crater,2,4,57.706152185014034,14.426538046253508
uniform,0.1,trench,1,5,16.55294535724685,4.138236339311712
front_roi,0.02,trench,1,5,16.55294535724685,4.138236339311712
uniform,0.05,trench,1,6,14.7648230602334,3.69120576505835
uniform,0.02,trench,1,8,11.40175425099138,2.850438562747845
uniform,0.2,trench,3,10,72.0,18.0
front_roi,0.05,trench,3,10,72.0,18.0
uniform,0.05,trench,0,11,28.0,7.0
uniform,0.05,trench,3,11,70.0,17.5
raysense,0.1,trench,0,11,28.0,7.0
uniform,0.2,crater,2,15,36.138621999185304,9.034655499796326
front_roi,0.05,crater,2,15,36.138621999185304,9.034655499796326
raysense,0.02,trench,0,15,20.0,5.0
raysense,0.05,trench,0,15,20.0,5.0
uniform,0.2,trench,0,16,18.0,4.5
front_roi,0.05,trench,0,16,18.0,4.5
uniform,0.1,trench,0,19,12.0,3.0
front_roi,0.02,trench,0,19,12.0,3.0
uniform,0.02,trench,0,20,10.0,2.5
uniform,0.05,crater,2,21,24.698178070456937,6.174544517614234
uniform,0.1,crater,2,21,24.698178070456937,6.174544517614234
front_roi,0.02,crater,2,21,24.698178070456937,6.174544517614234
raysense,0.1,crater,2,21,24.698178070456937,6.174544517614234
uniform,0.1,trench,3,22,48.0,12.0
front_roi,0.02,trench,3,22,48.0,12.0
uniform,0.02,crater,2,24,19.235384061671343,4.808846015417836
raysense,0.02,crater,2,27,14.212670403551895,3.553167600887974
raysense,0.05,crater,2,27,14.212670403551895,3.553167600887974
uniform,0.02,trench,3,32,28.0,7.0
