threshold,ditch_recall,false_cells,flagged_cells,precision_proxy
1.25,0.9969123095924248,34031,38293,0.12647220118559527
1.5,0.9802387813915191,18583,26288,0.1811472915398661
1.75,0.9643886372993001,7222,15477,0.30270724300575047
2.0,0.9396871140386991,132,6436,0.709291485394655
2.5,0.9083985179086044,18,5803,0.7604687230742719
3.0,0.8801976121860848,5,5387,0.7937627622053091
3.5,0.8579662412515439,0,4914,0.8481888481888482
4.0,0.8264717990942775,0,4600,0.8728260869565218
5.0,0.7667764512144916,0,4200,0.8869047619047619
7.0,0.5955125566076575,0,3139,0.921631092704683
